slug,title,ingredient
"receitas/bai_o_de_dois","Baião de dois","cebola"
"receitas/bai_o_de_dois","Baião de dois","azeite"
"receitas/bai_o_de_dois","Baião de dois","óleo"
"receitas/bai_o_de_dois","Baião de dois","queijo de coalho"
"receitas/bai_o_de_dois","Baião de dois","bacon"
"receitas/bai_o_de_dois","Baião de dois","cebola-roxa"
"receitas/bai_o_de_dois","Baião de dois","manteiga de garrafa"
"receitas/bai_o_de_dois","Baião de dois","cebolinha"
"receitas/bai_o_de_dois","Baião de dois","coentro"
"receitas/bai_o_de_dois","Baião de dois","sal"
"receitas/bai_o_de_dois","Baião de dois","pimenta-do-reino"
"receitas/batata_gratinada","Batata gratinada","batata"
"receitas/batata_gratinada","Batata gratinada","requeijão"
"receitas/batata_gratinada","Batata gratinada","creme de leite"
"receitas/batata_gratinada","Batata gratinada","cebolinha"
"receitas/batata_gratinada","Batata gratinada","bacon"
"receitas/batata_gratinada","Batata gratinada","queijo mussarela"
"receitas/batata_gratinada","Batata gratinada","sal"
"receitas/batata_gratinada","Batata gratinada","páprica"
"receitas/batata_gratinada","Batata gratinada","orégano"
"receitas/batata_gratinada","Batata gratinada","manteiga"
"receitas/batata_gratinada","Batata gratinada","parmesão"
"receitas/brigadeiro_sem_leite_condensado_com_banana_madura","Brigadeiro sem leite condensado com banana madura","cacau em pó"
"receitas/brigadeiro_sem_leite_condensado_com_banana_madura","Brigadeiro sem leite condensado com banana madura","banana"
"receitas/cuscuz_paulista","Cuscuz paulista","azeite"
"receitas/cuscuz_paulista","Cuscuz paulista","azeitona verde"
"receitas/cuscuz_paulista","Cuscuz paulista","ervilha"
"receitas/cuscuz_paulista","Cuscuz paulista","milho"
"receitas/cuscuz_paulista","Cuscuz paulista","molho de tomate"
"receitas/cuscuz_paulista","Cuscuz paulista","sardinha"
"receitas/cuscuz_paulista","Cuscuz paulista","sal"
"receitas/cuscuz_paulista","Cuscuz paulista","pimenta-do-reino"
"receitas/cuscuz_paulista","Cuscuz paulista","páprica doce"
"receitas/cuscuz_paulista","Cuscuz paulista","orégano"
"receitas/cuscuz_paulista","Cuscuz paulista","água"
"receitas/cuscuz_paulista","Cuscuz paulista","farinha de milho flocada"
"receitas/cuscuz_paulista","Cuscuz paulista","ovo"
"receitas/chilli_com_carne_simples","Chilli com carne simples","azeite"
"receitas/chilli_com_carne_simples","Chilli com carne simples","carne"
"receitas/chilli_com_carne_simples","Chilli com carne simples","sal"
"receitas/chilli_com_carne_simples","Chilli com carne simples","tomate"
"receitas/chilli_com_carne_simples","Chilli com carne simples","cominho"
"receitas/chilli_com_carne_simples","Chilli com carne simples","páprica doce"
"receitas/chilli_com_carne_simples","Chilli com carne simples","páprica picante"
"receitas/chilli_com_carne_simples","Chilli com carne simples","extrato de tomate"
"receitas/chilli_com_carne_simples","Chilli com carne simples","água"
"receitas/chilli_com_carne_simples","Chilli com carne simples","feijão-vermelho"
"receitas/chilli_com_carne_simples","Chilli com carne simples","coentro"
"receitas/chilli_com_carne_simples","Chilli com carne simples","salsinha"
"receitas/creme_de_leite_caseiro_fit","Creme de leite caseiro fit","ovo"
"receitas/creme_de_leite_caseiro_fit","Creme de leite caseiro fit","azeite"
"receitas/creme_de_leite_caseiro_fit","Creme de leite caseiro fit","leite em pó"
"receitas/creme_de_leite_caseiro_fit","Creme de leite caseiro fit","leite desnatado"
"receitas/creme_de_leite_caseiro_fit","Creme de leite caseiro fit","água"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","alcatra"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","peito de frango"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","linguiça toscana"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","alho"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","cebola"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","sal"
"receitas/espeto_3_sabores_para_um_churrasco_completo","Espeto 3 sabores para um churrasco completo","pimenta-do-reino"
"receitas/farofa_de_churrasco","Farofa de churrasco","azeite"
"receitas/farofa_de_churrasco","Farofa de churrasco","bacon"
"receitas/farofa_de_churrasco","Farofa de churrasco","cebola"
"receitas/farofa_de_churrasco","Farofa de churrasco","milho"
"receitas/farofa_de_churrasco","Farofa de churrasco","ervilha"
"receitas/farofa_de_churrasco","Farofa de churrasco","pimenta vermelha"
"receitas/farofa_de_churrasco","Farofa de churrasco","farinha de milho"
"receitas/farofa_de_churrasco","Farofa de churrasco","sal"
"receitas/doce_de_leite","Doce de leite","leite integral"
"receitas/doce_de_leite","Doce de leite","açúcar"
"receitas/doce_de_leite","Doce de leite","sal"
"receitas/doce_de_leite","Doce de leite","bicarbonato de sódio"
"receitas/feij_o_tropeiro","Feijão tropeiro","feijão preto"
"receitas/feij_o_tropeiro","Feijão tropeiro","fejão fradinho"
"receitas/feij_o_tropeiro","Feijão tropeiro","bacon"
"receitas/feij_o_tropeiro","Feijão tropeiro","manteiga"
"receitas/feij_o_tropeiro","Feijão tropeiro","linguiça calabresa"
"receitas/feij_o_tropeiro","Feijão tropeiro","carne de sol"
"receitas/feij_o_tropeiro","Feijão tropeiro","sal"
"receitas/feij_o_tropeiro","Feijão tropeiro","farinha de mandioca"
"receitas/feij_o_tropeiro","Feijão tropeiro","ovo"
"receitas/feijoada","Feijoada","feijão preto"
"receitas/feijoada","Feijoada","orelha de porco"
"receitas/feijoada","Feijoada","pé de porco"
"receitas/feijoada","Feijoada","lombo de porco"
"receitas/feijoada","Feijoada","lingüiça portuguesa"
"receitas/feijoada","Feijoada","carne seca"
"receitas/feijoada","Feijoada","rabo de porco"
"receitas/feijoada","Feijoada","costelinha de porco"
"receitas/feijoada","Feijoada","paio"
"receitas/feijoada","Feijoada","tempero"
"receitas/feijoada","Feijoada","cebola"
"receitas/feijoada","Feijoada","louro"
"receitas/feijoada","Feijoada","pimenta-do-reino"
"receitas/feijoada","Feijoada","pinga"
"receitas/feijoada","Feijoada","cebolinha"
"receitas/feijoada","Feijoada","alho"
"receitas/feijoada","Feijoada","laranja"
"receitas/feijoada","Feijoada","sal"
"receitas/macarronese","Macarronese","macarrão parafuso"
"receitas/macarronese","Macarronese","cenoura"
"receitas/macarronese","Macarronese","milho"
"receitas/macarronese","Macarronese","ervilha"
"receitas/macarronese","Macarronese","cebola"
"receitas/macarronese","Macarronese","presunto"
"receitas/macarronese","Macarronese","queijo mussarela"
"receitas/macarronese","Macarronese","maionese"
"receitas/macarronese","Macarronese","sal"
"receitas/macarronese","Macarronese","pimenta-do-reino"
"receitas/macarronese","Macarronese","cheiro-verde"
"receitas/feijoada_completa","Feijoada completa","feijão preto"
"receitas/feijoada_completa","Feijoada completa","carne seca"
"receitas/feijoada_completa","Feijoada completa","lombo suíno"
"receitas/feijoada_completa","Feijoada completa","costelinha suína defumada"
"receitas/feijoada_completa","Feijoada completa","calabresa"
"receitas/feijoada_completa","Feijoada completa","bacon"
"receitas/feijoada_completa","Feijoada completa","pé de porco salgado"
"receitas/feijoada_completa","Feijoada completa","rabo de porco salgado"
"receitas/feijoada_completa","Feijoada completa","alho"
"receitas/feijoada_completa","Feijoada completa","cebola"
"receitas/feijoada_completa","Feijoada completa","louro em pó"
"receitas/feijoada_completa","Feijoada completa","folhas secas"
"receitas/feijoada_completa","Feijoada completa","sal e pimenta"
"receitas/feijoada_simples","Feijoada Simples","costela de porco"
"receitas/feijoada_simples","Feijoada Simples","carne-seca"
"receitas/feijoada_simples","Feijoada Simples","lombo de porco"
"receitas/feijoada_simples","Feijoada Simples","feijão preto"
"receitas/feijoada_simples","Feijoada Simples","paio"
"receitas/feijoada_simples","Feijoada Simples","cebola"
"receitas/feijoada_simples","Feijoada Simples","alho"
"receitas/feijoada_simples","Feijoada Simples","azeite"
"receitas/feijoada_simples","Feijoada Simples","louro"
"receitas/feijoada_simples","Feijoada Simples","cominho"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","batata"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","cenoura"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","azeitona verde"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","cheiro-verde"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","maionese"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","sal"
"receitas/maionese_pratica_de_batata","Maionese prática de batata","salsa"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","maminha bovina"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","manteiga"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","páprica defumada"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","alho"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","sal"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","pimenta-do-reino"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","farinha de trigo"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","extrato de tomate"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","vinho tinto seco"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","caldo de carne"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","champignon"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","legumes"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","purê de batata"
"receitas/maminha_assada_ao_molho_madeira_com_champignon","Maminha assada ao molho madeira com champignon","arroz"
"receitas/mingau_de_aveia_fit","Mingau de aveia fit","aveia em flocos"
"receitas/mingau_de_aveia_fit","Mingau de aveia fit","leite"
"receitas/mingau_de_aveia_fit","Mingau de aveia fit","colher de café de canela em pó"
"receitas/mingau_de_aveia_fit","Mingau de aveia fit","cravo"
"receitas/mingau_de_aveia_fit","Mingau de aveia fit","banana"
"receitas/molho_branco_fit","Molho branco fit","aveia em flocos"
"receitas/molho_branco_fit","Molho branco fit","água"
"receitas/molho_branco_fit","Molho branco fit","cebola"
"receitas/molho_branco_fit","Molho branco fit","alho"
"receitas/molho_branco_fit","Molho branco fit","azeite"
"receitas/molho_branco_fit","Molho branco fit","sal"
"receitas/molho_branco_fit","Molho branco fit","noz-moscada"
"receitas/molho_branco_fit","Molho branco fit","pimenta branca"
"receitas/mandioca_ao_alho","Mandioca ao alho","mandioca"
"receitas/mandioca_ao_alho","Mandioca ao alho","sal"
"receitas/mandioca_ao_alho","Mandioca ao alho","azeite"
"receitas/mandioca_ao_alho","Mandioca ao alho","alho"
"receitas/molho_de_salsicha","Molho de salsicha","salsicha"
"receitas/molho_de_salsicha","Molho de salsicha","óleo de soja"
"receitas/molho_de_salsicha","Molho de salsicha","alho"
"receitas/molho_de_salsicha","Molho de salsicha","cebola"
"receitas/molho_de_salsicha","Molho de salsicha","tomate"
"receitas/molho_de_salsicha","Molho de salsicha","cheiro-verde"
"receitas/molho_de_salsicha","Molho de salsicha","cebolinha"
"receitas/molho_de_salsicha","Molho de salsicha","água"
"receitas/molho_de_salsicha","Molho de salsicha","mostarda"
"receitas/molho_de_salsicha","Molho de salsicha","ketchup"
"receitas/molho_chimichurri","Molho chimichurri","salsinha"
"receitas/molho_chimichurri","Molho chimichurri","orégano"
"receitas/molho_chimichurri","Molho chimichurri","vinagre de vinho tinto"
"receitas/molho_chimichurri","Molho chimichurri","azeite"
"receitas/molho_chimichurri","Molho chimichurri","água"
"receitas/molho_chimichurri","Molho chimichurri","sal grosso"
"receitas/molho_chimichurri","Molho chimichurri","pimenta dedo-de-moça"
"receitas/molho_chimichurri","Molho chimichurri","alho"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","cebola"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","tomate"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","pimentão verde"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","cheiro-verde"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","azeitonas verdes"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","sal"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","pimenta-do-reino"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","azeite"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","vinagre"
"receitas/molho_vinagrete_para_churrasco","Molho vinagrete para churrasco","água"
"receitas/molho_madeira","Molho madeira","champignon"
"receitas/molho_madeira","Molho madeira","manteiga"
"receitas/molho_madeira","Molho madeira","cebola"
"receitas/molho_madeira","Molho madeira","alho"
"receitas/molho_madeira","Molho madeira","amido de milho"
"receitas/molho_madeira","Molho madeira","vinho madeira"
"receitas/molho_madeira","Molho madeira","caldo de carne"
"receitas/molho_madeira","Molho madeira","sal"
"receitas/molho_madeira","Molho madeira","pimenta-do-reino"
"receitas/mousse_de_chocolate","Mousse de chocolate","chocolate ao leite"
"receitas/mousse_de_chocolate","Mousse de chocolate","creme de leite"
"receitas/mousse_de_chocolate","Mousse de chocolate","ovo"
"receitas/mousse_de_chocolate","Mousse de chocolate","açúcar"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","robalo"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","alho"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","cebola"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","tomate"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","leite de coco"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","azeite de dendê"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","pimentão vermelho"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","pimentão verde"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","pimenta-de-cheiro"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","coentro"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","sal"
"receitas/moqueca---bahia-1758394468201","Moqueca - Bahia","azeite"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","gelatina sem sabor"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","água"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","leite condensado"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","creme de leite"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","suco de maracujá"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","amido de milho"
"receitas/mousse_de_maracuj_f_cil_e_cremosa","Mousse de maracujá fácil e cremosa","açúcar"
"receitas/mousse_de_lim_o_r_pida","Mousse de limão rápida","creme de leite"
"receitas/mousse_de_lim_o_r_pida","Mousse de limão rápida","leite condensado"
"receitas/mousse_de_lim_o_r_pida","Mousse de limão rápida","suco de limão"
"receitas/nos_envie_receitas-2","Envia suas receita pra gente","queremos ver aquela receita que você arrasa! manda pra gente, compartilhe com a comunidade e ajude outros cozinheiros a mandarem bem também. é super rápido! se liga no passo a passo abaixo para sua receita ser publicada e bombar"
"receitas/ovos_rancheiros","Ovos rancheiros","linguiça calabresa"
"receitas/ovos_rancheiros","Ovos rancheiros","queijo"
"receitas/ovos_rancheiros","Ovos rancheiros","orégano"
"receitas/ovos_rancheiros","Ovos rancheiros","ovo"
"receitas/ovos_rancheiros","Ovos rancheiros","sal"
"receitas/ovos_rancheiros","Ovos rancheiros","pimenta"
"receitas/ovos_rancheiros","Ovos rancheiros","salsinha"
"receitas/ovos_rancheiros","Ovos rancheiros","cebola"
"receitas/ovos_rancheiros","Ovos rancheiros","alho"
"receitas/ovos_rancheiros","Ovos rancheiros","molho de tomate"
"receitas/panqueca_americana","Panqueca americana","farinha de trigo"
"receitas/panqueca_americana","Panqueca americana","açúcar"
"receitas/panqueca_americana","Panqueca americana","sal"
"receitas/panqueca_americana","Panqueca americana","ovo"
"receitas/panqueca_americana","Panqueca americana","leite"
"receitas/panqueca_americana","Panqueca americana","óleo"
"receitas/panqueca_americana","Panqueca americana","manteiga"
"receitas/panqueca_americana","Panqueca americana","fermento químico em pó"
"receitas/panqueca_americana","Panqueca americana","canela em pó"
"receitas/panqueca_americana","Panqueca americana","bicarbonato"
"receitas/panqueca_americana_fit","Panqueca americana fit","farinha de arroz"
"receitas/panqueca_americana_fit","Panqueca americana fit","leite desnatado"
"receitas/panqueca_americana_fit","Panqueca americana fit","ovo"
"receitas/panqueca_americana_fit","Panqueca americana fit","mel"
"receitas/panqueca_americana_fit","Panqueca americana fit","fermento químico em pó"
"receitas/panqueca_americana_fit","Panqueca americana fit","essência de baunilha"
"receitas/panqueca_americana_fit","Panqueca americana fit","óleo de coco"
"receitas/pato_no_tucupi","Pato no tucupi","pato"
"receitas/pato_no_tucupi","Pato no tucupi","alho"
"receitas/pato_no_tucupi","Pato no tucupi","tomate"
"receitas/pato_no_tucupi","Pato no tucupi","louro"
"receitas/pato_no_tucupi","Pato no tucupi","óleo"
"receitas/pato_no_tucupi","Pato no tucupi","tucupi"
"receitas/pato_no_tucupi","Pato no tucupi","sal"
"receitas/pato_no_tucupi","Pato no tucupi","cebola"
"receitas/pato_no_tucupi","Pato no tucupi","bacon"
"receitas/pato_no_tucupi","Pato no tucupi","vinagre"
"receitas/pato_no_tucupi","Pato no tucupi","cominho e pimenta do reino"
"receitas/pato_no_tucupi","Pato no tucupi","jambu"
"receitas/pato_no_tucupi","Pato no tucupi","agrião"
"receitas/pato_no_tucupi","Pato no tucupi","farinha de mandioca torrada"
"receitas/pat_de_frango","Patê de frango","frango"
"receitas/pat_de_frango","Patê de frango","maionese"
"receitas/pat_de_frango","Patê de frango","requeijão"
"receitas/pat_de_frango","Patê de frango","milho-verde"
"receitas/pat_de_frango","Patê de frango","azeitona verde sem caroço"
"receitas/pat_de_frango","Patê de frango","cenoura"
"receitas/pat_de_frango","Patê de frango","cebola"
"receitas/pat_de_frango","Patê de frango","sal e cheiro-verde"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","farinha de trigo"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","ovo"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","sal"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","cebola"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","extrato de tomate"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","queijo"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","leite"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","óleo"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","carne"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","tomate"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","creme de leite"
"receitas/panqueca_de_carne_moída","Panqueca de carne moída","muçarela"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","bacon defumado"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","batata"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","maionese"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","mostarda"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","salsinha"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","sal e pimenta-do-reino"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","picanha bovina"
"receitas/picanha_com_batatonese_de_bacon","Picanha com batatonese de bacon","sal"
"receitas/pudim_de_leite_condensado","Pudim de leite condensado","açúcar"
"receitas/pudim_de_leite_condensado","Pudim de leite condensado","água"
"receitas/pudim_de_leite_condensado","Pudim de leite condensado","ovo"
"receitas/pudim_de_leite_condensado","Pudim de leite condensado","leite integral"
"receitas/pudim_de_leite_condensado","Pudim de leite condensado","leite condensado"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","água"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","açúcar"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","leite"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","ovo"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","creme de leite"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","leite condensado"
"receitas/pudim_de_p_o_f_cil","Pudim de pão fácil","pão francês"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","azeite"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","cebola"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","carne"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","caldo de carne"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","água"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","tomate"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","manjericão"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","manteiga"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","sal"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","fubá"
"receitas/polenta_mole_com_carne_mo_da","Polenta mole com carne moída","queijo gorgonzola"
"receitas/queijo_cottage","Queijo cottage","leite integral tipo a"
"receitas/queijo_cottage","Queijo cottage","suco de limão"
"receitas/queijo_cottage","Queijo cottage","sal"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","picanha bovina"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","sal"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","manteiga"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","cebola"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","farinha de mandioca torrada"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","salsinha"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","pimenta-do-reino"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","tomate"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","cebola-roxa"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","vinagre"
"receitas/picanha_perdig_o_na_brasa_com_farofa_e_vinagrete","Picanha na brasa com farofa e vinagrete","azeite"
"receitas/risoto_de_calabresa","Risoto de calabresa","linguiça calabresa"
"receitas/risoto_de_calabresa","Risoto de calabresa","azeite"
"receitas/risoto_de_calabresa","Risoto de calabresa","cebola"
"receitas/risoto_de_calabresa","Risoto de calabresa","aipo"
