slug,title,ingredient
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","Lave e seque as abobrinhas. Lave e seque as folhas de hortelã e de salsinha."
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","Numa tigela pequena, misture o mel com o vinagre de maçã e tempere com uma pitada de sal."
"receitas/abobrinha_agridoce_de_frigideira","Abobrinha agridoce de frigideira","Com uma pinça, vire as abobrinhas, tempere com sal e pimenta a gosto e deixe dourar por 1 minuto. Abaixe o fogo, tampe a frigideira e deixe as abobrinhas cozinhar por mais 4 minutos, até que fiquem levemente macias."
"receitas/abobrinha_grelhada_com_semente_de_coentro_e_lim_o","Abobrinha grelhada com semente de coentro e limão","Salada de abobrinha com manjericão"
"receitas/abobrinha_grelhada_com_semente_de_coentro_e_lim_o","Abobrinha grelhada com semente de coentro e limão","½ colher (chá) de sementes de coentro"
"receitas/abobrinha_grelhada_com_semente_de_coentro_e_lim_o","Abobrinha grelhada com semente de coentro e limão","azeite a gosto"
"receitas/abobrinha_grelhada_com_semente_de_coentro_e_lim_o","Abobrinha grelhada com semente de coentro e limão","sal a gosto"
"receitas/abobrinha_grelhada_com_semente_de_coentro_e_lim_o","Abobrinha grelhada com semente de coentro e limão","Vire os pedaços com uma pinça e mantenha em fogo médio para dourar o outro lado. Acrescente as sementes de coentro, tempere com sal e regue com mais um fio de azeite. Mexa por 1 minuto até a abobrinha ficar levemente macia e absorver o sabor do coentro."
"receitas/abacate_com_lim_o_e_a_car","Abacate com limão e açúcar","Salada de abacate"
"receitas/abacate_com_lim_o_e_a_car","Abacate com limão e açúcar","1 abacate maduro (3 xícaras (chá) em pedaços de 1,5 cm)"
"receitas/abacate_com_lim_o_e_a_car","Abacate com limão e açúcar","2 colheres (sopa) de açúcar"
"receitas/abacate_com_lim_o_e_a_car","Abacate com limão e açúcar","Divida em 4 tigelas, polvilhe com açúcar e regue com caldo de limão. Sirva imediatamente."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","½ xícara (chá) de folhas de espinafre"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","½ xícara (chá) de grão-de-bico cozido e escorrido (em conserva)"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","½ xícara (chá) de passata de tomate"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","¼ de xícara (chá) de cuscuz marroquino"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","¼ de colher (chá) de gengibre fresco ralado"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","1 colher (chá) de mel"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","pimenta-do-reino moída na hora a gosto"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","folhas de salsinha a gosto para servir"
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Destaque as folhas de espinafre dos talos e lave sob água corrente. Lave e seque a abobrinha e a salsinha. Corte e descarte a ponta com o cabinho e corte a abobrinha ao meio no sentido do comprimento — nesta receita, vamos usar uma metade da abobrinha; o restante pode ser armazenado na geladeira por até 5 dias para outra receita. Corte a azeitona em rodelas."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Tempere a parte plana da abobrinha com uma pitada de sal e de pimenta, o tomilho debulhado e regue com um fio de azeite."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Abra a gaveta da Air Fryer e desencaixe o cesto. Na gaveta (sem o cesto), coloque o grão-de-bico escorrido, a passata de tomate, ¼ de xícara (chá) de água, o gengibre, o mel e 1 colher (chá) de azeite. Tempere com ¼ de colher (chá) de sal, pimenta a gosto e misture com uma espátula de silicone."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Numa tigela pequena, coloque o cuscuz marroquino, regue com ½ colher (chá) de azeite e tempere com uma pitada de sal."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Numa panela pequena, coloque um pouco mais de ½ xícara (chá) de água, as folhas de espinafre e tempere com uma pitada de sal. Leve ao fogo alto para cozinhar até ferver. Desligue o fogo e, com uma pinça, transfira as folhas de espinafre pré-cozidas para uma tigela pequena e regue com um fio de azeite."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Meça ¼ de xícara (chá) da água fervente e regue o cuscuz (reserve o restante da água para adicionar ao ensopado). Misture com uma colher e tampe com um prato para hidratar por 5 minutos."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Retire a abobrinha gratinada da Air Fryer e desencaixe o cesto da gaveta. Junte o espinafre ao ensopado e vá adicionando a água quente reservada aos poucos, de colher em colher, misturando com uma espátula de silicone — o ensopado vai sair bem encorpado da Air Fryer; adicione água para deixar mais fluido conforme desejar."
"receitas/abobrinha_gratinada_com_ensopado_de_tomate_e_gr_o_de_bico_na_air_fryer_da_rita_lobo","Abobrinha gratinada com ensopado de tomate e grão-de-bico na Air Fryer da Rita Lobo","Solte o cuscuz marroquino com um garfo e misture a azeitona fatiada e as raspas de limão. Sirva a abobrinha gratinada com o ensopado, o cuscuz marroquino e folhas de salsinha."
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Abobrinha marinada com limão e salsinha"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Salada de abobrinha com hortelã"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","2 xícaras (chá) de ricota esfarelada (cerca de 300 g)"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","¼ de xícara (chá) de nozes"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","azeite a gosto"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","sal e pimenta-do-reino moída na hora a gosto"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","queijo parmesão ralado a gosto"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","folhas de hortelã a gosto"
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Com uma escovinha para legumes lave bem a casca das abobrinhas sob água corrente. Seque e corte cada uma ao meio no sentido do comprimento. Com uma colher de sobremesa retire o miolo das abobrinhas, deixando uma borda de cerca de 0,5 cm da casca - assim elas ficam no formato de uma canoa para rechear."
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Leve uma panela pequena ao fogo médio. Quando aquecer, regue com 1 colher (sopa) de azeite, junte a cebola e refogue por 2 minutos, até murchar. Acrescente o alho e mexa por 1 minuto para perfumar. Junte o miolo da abobrinha, tempere com sal e pimenta e refogue por 5 minutos até ficar bem macio."
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Transfira o refogado para uma tigela, junte a ricota e misture bem com um garfo. Tempere com noz-moscada a gosto, prove e ajuste o sal. Por último misture as nozes picadas."
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Coloque as abobrinhas numa assadeira, com a cavidade voltada para cima. Tempere o interior de cada uma com sal e pimenta-do-reino a gosto. Com uma colher, distribua o recheio de ricota nas cavidades das abobrinhas e regue com um fio de azeite."
"receitas/abobrinha_recheada_com_ricota_e_nozes","Abobrinha recheada com ricota e nozes","Polvilhe as abobrinhas com queijo parmesão ralado e leve ao forno para assar por cerca de 30 minutos, até dourar. Retire do forno e sirva a seguir salpicado com folhas de salsinha frescas."
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Salada de abobrinha com manjericão"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","1 colher (sopa) de farinha de trigo"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","¼ de xícara (chá) de água"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","azeite a gosto"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","½ colher (chá) de páprica doce"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","½ colher (chá) de pimenta síria"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","1 pitada de canela em pó"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","sal e pimenta-do-reino moída na hora a gosto"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","2 colheres (sopa) de farinha de rosca"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","2 colheres (sopa) de queijo parmesão ralado fino"
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Com uma escovinha para legumes lave bem as abobrinhas sob água corrente. Seque e corte cada abobrinha ao meio no sentido do comprimento. Com uma colher de sobremesa retire o miolo das abobrinhas, deixando uma borda de cerca de 0,5 cm da casca - assim as abobrinhas ficam no formato de uma canoa para rechear."
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Leve uma panela média ao fogo médio. Quando aquecer regue com 3 colheres (sopa) de azeite, junte a carne moída e polvilhe com a farinha de trigo. Misture, tempere com sal e pimenta e deixe dourar por cerca de 10 minutos, mexendo de vez em quando para soltar e dourar a carne por igual."
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Transfira a carne dourada para uma tigela e mantenha a panela em fogo médio. Regue com mais 1 colher (sopa) de azeite, junte a cebola e o miolo da abobrinha picados. Tempere com uma pitada de sal e refogue por cerca de 2 minutos até murchar. Junte o alho, a canela, a páprica e a pimenta síria e misture bem por 1 minuto."
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Regue com a água e misture, raspando bem o fundo da panela para dissolver os queimadinhos - eles dão sabor ao recheio. Volte a carne para a panela e misture bem - o recheio deve ficar ainda úmido. Desligue o fogo, prove e ajuste o sal e a pimenta-do-reino."
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Tempere o interior das abobrinhas com sal e pimenta-do-reino moída na hora a gosto. Com uma colher, distribua o recheio de carne nas cavidades de cada abobrinha e regue com um fio de azeite."
"receitas/abobrinha_recheada_com_carne_mo_da","Abobrinha recheada com carne moída","Numa tigela pequena, misture a farinha de rosca com o queijo ralado. Polvilhe sobre cada abobrinha e leve a assadeira ao forno preaquecido. Deixe assar por cerca de 30 minutos, até dourar. Retire do forno e sirva a seguir com salada de folhas verdes."
"receitas/acaraj","Acarajé","lanches e salgados"
"receitas/acaraj","Acarajé","mais arroz e risotos lanches e salgados entradas e petiscos peixes e frutos do mar bebidas molhos e patês saladas e acompanhamentos sopas e caldos especiais"
"receitas/acaraj","Acarajé","lanches e salgados"
"receitas/acaraj","Acarajé","saladas e acompanhamentos"
"receitas/acaraj","Acarajé","500 gramas de feijão-fradinho"
"receitas/acaraj","Acarajé","Sal a gosto"
"receitas/acaraj","Acarajé","250 gramas de camarão seco"
"receitas/acaraj","Acarajé","50 gramas de amendoim torrado e sem pele"
"receitas/acaraj","Acarajé","75 gramas de castanha-de-caju"
"receitas/acaraj","Acarajé","1 xícara de chá de farinha de mandioca torrada"
"receitas/acaraj","Acarajé","Gengibre ralado a gosto"
"receitas/acaraj","Acarajé","Sal a gosto"
"receitas/acaraj","Acarajé","3 xícaras de chá de azeite de dendê"
"receitas/acaraj","Acarajé","Descasque e corte a cebola em 4 pedaços. Transfira para o processador. Bata até o feijão formar uma pastinha. Se preciso, no meio do processo, desligue o processador e use uma colher para espalhar a massa;"
"receitas/acaraj","Acarajé","Despeje a pastinha em uma vasilha e tempere com sal. Com uma colher de pau, misture bem a massa para incorporar ar e dobrar de volume. Reserve."
"receitas/acaraj","Acarajé","Em um liquidificador, coloque os camarões secos, o leite de coco, o amendoim, a castanha-de-caju, a cebola, a farinha de mandioca e o gengibre. Bata até formar um creme homogêneo;"
"receitas/acaraj","Acarajé","Despeje o creme em uma panela alta e tempere com sal. Deixe cozinhar em fogo médio, mexendo sempre, por cerca de 20 minutos. O ponto do vatapá é quando ele começa a desgrudar da panela;"
"receitas/acaraj","Acarajé","Com o auxílio de uma colher de sopa, pegue pequenas porções da massa de acarajé e frite até dourar. Não coloque muitos bolinhos de uma vez só na panela. Repita o processo até acabar;"
"receitas/aca_de_arroz","Acaçá de arroz","1 xícara (chá) de farinha de arroz"
"receitas/aca_de_arroz","Acaçá de arroz","400 ml de leite de coco (cerca de 1 ⅔ de xícara)"
"receitas/aca_de_arroz","Acaçá de arroz","1 colher (chá) de sal"
"receitas/aca_de_arroz","Acaçá de arroz","óleo para untar a fôrma"
"receitas/aca_de_arroz","Acaçá de arroz","No liquidificador, bata o leite de coco com 1 xícara (chá) do leite, a farinha de arroz e o sal, até ficar liso."
"receitas/aca_de_arroz","Acaçá de arroz","Enquanto o creme cozinha, unte com óleo uma fôrma de bolo inglês de 30 cm x 11 cm."
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","Salada picante de acelga"
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","1 colher (sopa) de mostarda de Dijon"
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","½ xícara (chá) de óleo de milho"
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","queijo parmesão ralado na hora a gosto"
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","sal e pimenta-do-reino moída na hora a gosto"
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","Pique fino o filé de anchova e transfira para uma tigela. Junte a gema, a mostarda, o caldo de limão, 2 colheres (sopa) de parmesão ralado e misture bem com um batedor de arame - coloque um pano de prato sob a tigela para que ela não fique mexendo na hora de misturar. Regue com o óleo em fio, sem parar de mexer, até formar um molho grosso. Prove e tempere com sal e pimenta-do-reino a gosto."
"receitas/acelga_gratinada_com_molho_caesar","Acelga gratinada com molho caesar","Numa assadeira grande, coloque os quartos de acelga com a parte cortada para cima. Espalhe o molho sobre cada pedaço e polvilhe com queijo parmesão ralado a gosto. Leve ao forno para gratinar por cerca de 15 minutos. Sirva a seguir."
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","Salada picante de acelga"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","¼ de xícara (chá) de shoyu (molho de soja)"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","1 colher (chá) de gengibre ralado (um pedaço de 2 cm)"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","2 colheres (sopa) de vinagre de arroz"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","1 colher (sopa) de açúcar"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","2 colheres (chá) de sal"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","óleo de gergelim a gosto"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","gergelim branco e preto torrado a gosto"
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","Assim que a água ferver, adicione o sal e mergulhe as folhas de acelga em 3 etapas para branquear. Deixe cozinhar por apenas 2 minutos. Com uma pinça, transfira as folhas para a tigela com água e gelo para interromper o cozimento — assim elas ficam macias, mas sem perder a textura. Passe as folhas de acelga branqueadas para um escorredor e repita a operação com o restante."
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","Aperte delicadamente as folhas branqueadas com as mãos para tirar o excesso de água. Numa tigela pequena, misture o gengibre com o vinagre, o açúcar e o shoyu."
"receitas/acelga_marinada_com_shoyu_e_gengibre","Acelga marinada com shoyu e gengibre","Na hora de servir, regue com óleo de gergelim e salpique com gergelim preto e branco torrados a gosto."
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","Salada picante de acelga"
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","¼ de xícara (chá) de castanha-de-caju"
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","1 colher (chá) de amido de milho"
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","1 colher (sopa) de azeite"
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","sal e pimenta-do-reino moída na hora a gosto"
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","Leve uma frigideira grande ao fogo médio. Quando aquecer, regue com o azeite, acrescente o alho e mexa por apenas 1 minuto para perfumar. Junte a acelga fatiada, tempere com sal e pimenta-do-reino a gosto e misture bem. Regue com a mistura do caldo de laranja e amido de milho, misture e deixe cozinhar por mais 5 minutos, mexendo de vez em quando, até a acelga murchar e o caldo engrossar."
"receitas/acelga_refogada_com_laranja_e_castanha_de_caju","Acelga refogada com laranja e castanha-de-caju","Desligue o fogo, misture a castanha-de-caju picada e sirva a seguir. Essa acelga é um ótimo acompanhamento para o salmão em crosta de ervas."
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","⅔ de xícara (chá) de miolo de pão italiano amanhecido em cubos de cerca de 3 cm (2 fatias)"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","1¼ de xícara (chá) de água gelada"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","⅔ de xícara (chá) de amêndoa crua sem pele (150g)"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","½ xícara (chá) de azeite Andorinha"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","1½ colher (sopa) de vinagre de vinho tinto"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","sal e pimenta-branca moída na hora a gosto"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","noz-moscada ralada na hora a gosto"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","uvas verdes sem semente a gosto para servir"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","folhas de endro (dill) a gosto para servir"
"receitas/ajo_blanco_sopa_fria_de_p_o_com_am_ndoas_e_alho","Ajo blanco (Sopa fria de pão com amêndoas e alho)","folhas de hortelã a gosto para servir"
